--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
1.800000,3.700000,175.014436,336.094420,138.408960
1.800000,3.800000,179.488880,340.568864,140.956800
1.800000,3.900000,183.963324,345.043308,143.504640
1.800000,4.000000,188.437768,349.517752,146.052480
1.800000,4.100000,192.912212,353.992196,148.600320
1.800000,4.200000,197.386656,358.466640,151.148160
1.800000,4.300000,201.861100,362.941084,153.696000
1.800000,4.400000,206.335544,367.415528,156.243840
1.800000,4.500000,210.809988,371.889972,158.791680
1.800000,4.600000,215.284432,376.364416,161.339520
1.800000,4.700000,219.758876,380.838860,163.887360
1.800000,4.800000,224.233320,385.313304,166.435200
1.800000,4.900000,228.707764,389.787748,168.983040
1.900000,3.000000,144.218884,314.247756,123.026240
1.900000,3.100000,148.693328,318.722200,125.574080
1.900000,3.200000,153.167772,323.196644,128.121920
1.900000,3.300000,157.642216,327.671088,130.669760
1.900000,3.400000,162.116660,332.145532,133.217600
1.900000,3.500000,166.591104,336.619976,135.765440
1.900000,3.600000,171.065548,341.094420,138.313280
1.900000,3.700000,175.539992,345.568864,140.861120
1.900000,3.800000,180.014436,350.043308,143.408960
1.900000,3.900000,184.488880,354.517752,145.956800
1.900000,4.000000,188.963324,358.992196,148.504640
1.900000,4.100000,193.437768,363.466640,151.052480
1.900000,4.200000,197.912212,367.941084,153.600320
1.900000,4.300000,202.386656,372.415528,156.148160
1.900000,4.400000,206.861100,376.889972,158.696000
1.900000,4.500000,211.335544,381.364416,161.243840
1.900000,4.600000,215.809988,385.838860,163.791680
1.900000,4.700000,220.284432,390.313304,166.339520
1.900000,4.800000,224.758876,394.787748,168.887360
1.900000,4.900000,229.233320,399.262192,171.435200
2.000000,3.000000,144.744440,323.722200,125.478400
2.000000,3.100000,149.218884,328.196644,128.026240
2.000000,3.200000,153.693328,332.671088,130.574080
2.000000,3.300000,158.167772,337.145532,133.121920
2.000000,3.400000,162.642216,341.619976,135.669760
2.000000,3.500000,167.116660,346.094420,138.217600
2.000000,3.600000,171.591104,350.568864,140.765440
2.000000,3.700000,176.065548,355.043308,143.313280
2.000000,3.800000,180.539992,359.517752,145.861120
2.000000,3.900000,185.014436,363.992196,148.408960
2.000000,4.000000,189.488880,368.466640,150.956800
2.000000,4.100000,193.963324,372.941084,153.504640
2.000000,4.200000,198.437768,377.415528,156.052480
2.000000,4.300000,202.912212,381.889972,158.600320
2.000000,4.400000,207.386656,386.364416,161.148160
2.000000,4.500000,211.861100,390.838860,163.696000
2.000000,4.600000,216.335544,395.313304,166.243840
2.000000,4.700000,220.809988,399.787748,168.791680
2.000000,4.800000,225.284432,404.262192,171.339520
2.000000,4.900000,229.758876,408.736636,173.887360
2.100000,3.000000,145.269996,333.196644,127.930560
2.100000,3.100000,149.744440,337.671088,130.478400
2.100000,3.200000,154.218884,342.145532,133.026240
2.100000,3.300000,158.693328,346.619976,135.574080
2.100000,3.400000,163.167772,351.094420,138.121920
2.100000,3.500000,167.642216,355.568864,140.669760
2.100000,3.600000,172.116660,360.043308,143.217600
2.100000,3.700000,176.591104,364.517752,145.765440
2.100000,3.800000,181.065548,368.992196,148.313280
2.100000,3.900000,185.539992,373.466640,150.861120
2.100000,4.000000,190.014436,377.941084,153.408960
2.100000,4.100000,194.488880,382.415528,155.956800
2.100000,4.200000,198.963324,386.889972,158.504640
2.100000,4.300000,203.437768,391.364416,161.052480
2.100000,4.400000,207.912212,395.838860,163.600320
2.100000,4.500000,212.386656,400.313304,166.148160
2.100000,4.600000,216.861100,404.787748,168.696000
2.100000,4.700000,221.335544,409.262192,171.243840
2.100000,4.800000,225.809988,413.736636,173.791680
2.100000,4.900000,230.284432,418.211080,176.339520
2.200000,3.000000,145.795552,342.671088,130.382720
2.200000,3.100000,150.269996,347.145532,132.930560
2.200000,3.200000,154.744440,351.619976,135.478400
2.200000,3.300000,159.218884,356.094420,138.026240
2.200000,3.400000,163.693328,360.568864,140.574080
2.200000,3.500000,168.167772,365.043308,143.121920
2.200000,3.600000,172.642216,369.517752,145.669760
2.200000,3.700000,177.116660,373.992196,148.217600
2.200000,3.800000,181.591104,378.466640,150.765440
2.200000,3.900000,186.065548,382.941084,153.313280
2.200000,4.000000,190.539992,387.415528,155.861120
2.200000,4.100000,195.014436,391.889972,158.408960
2.200000,4.200000,199.488880,396.364416,160.956800
2.200000,4.300000,203.963324,400.838860,163.504640
2.200000,4.400000,208.437768,405.313304,166.052480
2.200000,4.500000,212.912212,409.787748,168.600320
2.200000,4.600000,217.386656,414.262192,171.148160
2.200000,4.700000,221.861100,418.736636,173.696000
2.200000,4.800000,226.335544,423.211080,176.243840
2.200000,4.900000,230.809988,427.685524,178.791680
2.300000,3.000000,146.321108,352.145532,132.834880
2.300000,3.100000,150.795552,356.619976,135.382720
2.300000,3.200000,155.269996,361.094420,137.930560
2.300000,3.300000,159.744440,365.568864,140.478400
2.300000,3.400000,164.218884,370.043308,143.026240
2.300000,3.500000,168.693328,374.517752,145.574080
